timestamp,raw_value,emg_voltage,filtered_value,muscle_state
6.1,880,0.71,0.67,active
6.11,956,0.77,0.72,active
6.12,973,0.78,0.76,active
6.13,968,0.78,0.78,active
6.14,972,0.78,0.78,active
6.15,970,0.78,0.78,active
6.16,974,0.78,0.78,active
6.17,972,0.78,0.78,active
6.18,973,0.78,0.78,active
6.19,974,0.78,0.78,active
6.2,972,0.78,0.78,active
6.21,972,0.78,0.78,active
6.22,971,0.78,0.78,active
6.23,973,0.78,0.78,active
6.24,972,0.78,0.78,active
6.25,973,0.78,0.78,active
6.26,973,0.78,0.78,active
6.27,970,0.78,0.78,active
6.28,972,0.78,0.78,active
6.29,973,0.78,0.78,active
6.3,973,0.78,0.78,active
6.31,973,0.78,0.78,active
6.32,972,0.78,0.78,active
6.33,973,0.78,0.78,active
6.34,973,0.78,0.78,active
6.35,972,0.78,0.78,active
6.36,973,0.78,0.78,active
6.37,973,0.78,0.78,active
6.38,968,0.78,0.78,active
6.39,973,0.78,0.78,active
6.4,974,0.78,0.78,active
6.41,972,0.78,0.78,active
6.42,969,0.78,0.78,active
6.43,973,0.78,0.78,active
6.44,972,0.78,0.78,active
6.45,971,0.78,0.78,active
6.46,974,0.78,0.78,active
6.47,974,0.78,0.78,active
6.48,972,0.78,0.78,active
6.49,974,0.78,0.78,active
6.5,973,0.78,0.78,active
6.51,973,0.78,0.78,active
6.52,973,0.78,0.78,active
6.53,972,0.78,0.78,active
6.54,973,0.78,0.78,active
6.55,971,0.78,0.78,active
6.56,973,0.78,0.78,active
6.57,973,0.78,0.78,active
6.58,972,0.78,0.78,active
6.59,974,0.78,0.78,active
6.6,969,0.78,0.78,active
6.61,973,0.78,0.78,active
6.62,973,0.78,0.78,active
6.63,972,0.78,0.78,active
6.64,972,0.78,0.78,active
6.65,971,0.78,0.78,active
6.66,968,0.78,0.78,active
6.67,973,0.78,0.78,active
6.68,977,0.79,0.78,active
6.69,973,0.78,0.79,active
6.7,974,0.78,0.79,active
6.71,972,0.78,0.78,active
6.72,973,0.78,0.78,active
6.73,972,0.78,0.78,active
6.74,964,0.78,0.78,active
6.75,936,0.75,0.77,active
6.76,909,0.73,0.75,active
6.77,895,0.72,0.73,active
6.78,870,0.7,0.72,active
6.79,848,0.68,0.7,active
6.8,822,0.66,0.68,active
6.81,800,0.64,0.66,active
6.82,780,0.63,0.64,active
6.83,754,0.61,0.62,active
6.84,732,0.59,0.6,active
6.85,706,0.57,0.59,active
6.86,683,0.55,0.57,active
6.87,670,0.54,0.55,active
6.88,643,0.52,0.53,active
6.89,628,0.51,0.52,active
6.9,603,0.49,0.5,active
6.91,583,0.47,0.48,active
6.92,570,0.46,0.47,active
6.93,544,0.44,0.45,active
6.94,530,0.43,0.44,active
6.95,503,0.41,0.42,active
6.96,490,0.39,0.41,active
6.97,476,0.38,0.39,active
6.98,456,0.37,0.38,active
6.99,442,0.36,0.37,active
7.0,421,0.34,0.35,active
7.01,406,0.33,0.34,active
7.02,393,0.32,0.33,active
7.03,379,0.31,0.31,active
7.04,369,0.3,0.3,active
7.05,349,0.28,0.29,active
7.06,338,0.27,0.28,active
7.07,331,0.27,0.27,active
7.08,312,0.25,0.26,active
7.09,305,0.25,0.25,active
7.1,292,0.24,0.24,active
7.11,283,0.23,0.23,active
7.12,270,0.22,0.23,active
7.13,259,0.21,0.22,active
7.14,251,0.2,0.21,active
7.15,240,0.19,0.2,rest
7.16,234,0.19,0.19,rest
7.17,227,0.18,0.19,rest
7.18,214,0.17,0.18,rest
7.19,212,0.17,0.17,rest
7.2,200,0.16,0.17,rest
7.21,193,0.16,0.16,rest
7.22,191,0.15,0.16,rest
7.23,183,0.15,0.15,rest
7.24,181,0.15,0.15,rest
7.25,174,0.14,0.14,rest
7.26,172,0.14,0.14,rest
7.27,168,0.14,0.14,rest
7.28,160,0.13,0.13,rest
7.29,159,0.13,0.13,rest
7.3,154,0.12,0.13,rest
7.31,150,0.12,0.12,rest
7.32,152,0.12,0.12,rest
7.33,149,0.12,0.12,rest
7.34,143,0.12,0.12,rest
7.35,139,0.11,0.11,rest
7.36,140,0.11,0.11,rest
7.37,136,0.11,0.11,rest
7.38,134,0.11,0.11,rest
7.39,132,0.11,0.11,rest
7.4,129,0.1,0.11,rest
7.41,134,0.11,0.11,rest
7.42,132,0.11,0.11,rest
7.43,132,0.11,0.11,rest
7.44,130,0.1,0.11,rest
7.45,132,0.11,0.11,rest
7.46,132,0.11,0.11,rest
7.47,130,0.1,0.11,rest
7.48,132,0.11,0.11,rest
7.49,132,0.11,0.11,rest
7.5,133,0.11,0.11,rest
7.51,136,0.11,0.11,rest
7.52,135,0.11,0.11,rest
7.53,136,0.11,0.11,rest
7.54,136,0.11,0.11,rest
7.55,139,0.11,0.11,rest
7.56,140,0.11,0.11,rest
7.57,138,0.11,0.11,rest
7.58,142,0.11,0.11,rest
7.59,143,0.12,0.11,rest
7.6,180,0.15,0.13,rest
7.61,180,0.15,0.14,rest
7.62,226,0.18,0.16,rest
7.63,274,0.22,0.19,active
7.64,294,0.24,0.22,active
7.65,278,0.22,0.23,active
7.66,255,0.21,0.22,active
7.67,245,0.2,0.21,rest
7.68,235,0.19,0.2,rest
7.69,232,0.19,0.19,rest
7.7,230,0.19,0.19,rest
7.71,262,0.21,0.2,active
7.72,295,0.24,0.22,active
7.73,309,0.25,0.24,active
7.74,362,0.29,0.26,active
7.75,383,0.31,0.29,active
7.76,437,0.35,0.32,active
7.77,498,0.4,0.36,active
7.78,555,0.45,0.41,active
7.79,648,0.52,0.47,active
7.8,706,0.57,0.53,active
7.81,784,0.63,0.58,active
7.82,871,0.7,0.65,active
7.83,948,0.76,0.71,active
7.84,972,0.78,0.76,active
7.85,968,0.78,0.78,active
7.86,971,0.78,0.78,active
7.87,973,0.78,0.78,active
7.88,971,0.78,0.78,active
7.89,974,0.78,0.78,active
7.9,969,0.78,0.78,active
7.91,973,0.78,0.78,active
7.92,974,0.78,0.78,active
7.93,969,0.78,0.78,active
7.94,973,0.78,0.78,active
7.95,973,0.78,0.78,active
